"city","Latitude","Longitude","confirmedcases_09-02-2020","deaths_09-02-2020","confirmedcases_05-02-2020","deaths_05-02-2020","confirmedcases_06-02-2020","deaths_06-02-2020","confirmedcases_07-02-2020","deaths_07-02-2020","confirmedcases_08-02-2020","deaths_08-02-2020"
" Mudanjiang, Heilongjiang",44.551653,129.633168,11,0,8,0,9,0,11,0,11,0
" Liuzhou, Guangxi",24.326292,109.428608,20,0,15,0,17,0,20,0,20,0
" Linyi, Shandong",35.104673,118.356414,40,0,28,0,32,0,35,0,35,0
" Qingdao, Shandong",36.067108,120.382609,46,0,32,0,41,0,43,0,43,0
" Dazhou, Sichuan",31.209571,107.468023,23,0,13,0,17,0,20,0,20,0
" Zhongshan, Guangdong",22.517585,113.39277,46,0,31,0,35,0,35,0,44,0
" Changchun, Jilin",43.817071,125.323544,31,0,17,0,27,0,28,0,28,0
" Xiamen, Fujian",24.479833,118.089425,23,0,20,0,21,0,21,0,21,0
" Quanzhou, Fujian",24.874132,118.675675,40,0,35,0,37,0,37,0,39,0
" Ningde, Fujian",26.665617,119.547932,16,0,12,0,14,0,14,0,16,0
" Shenyang, Liaoning",41.805699,123.431472,25,0,18,0,18,0,23,0,23,0
" Yongzhou, Hunan",26.420394,111.613445,38,0,26,0,30,0,32,0,32,0
" Chenzhou, Hunan",25.770509,113.014717,29,0,22,0,24,0,25,0,25,0
" Fuling District, Chongqing",29.703113,107.389298,3,0,2,0,3,0,3,0,3,0
" Nanchang, Jiangxi",28.682892,115.858197,162,0,121,0,134,0,134,0,149,0
" Tongren, Guizhou",27.731514,109.189598,6,0,6,0,6,0,6,0,6,0
" Guiding County (Qiannan), Guizhou",26.584666,107.234703,1,0,1,0,1,0,1,0,1,0
" Lu'an, Anhui",31.734476,116.521442,41,0,30,0,34,0,36,0,36,0
" Fuyang, Anhui",32.890479,115.814504,105,0,79,0,84,0,95,0,95,0
" Chuzhou, Anhui",32.253425,118.328321,11,0,11,0,11,0,11,0,11,0
" Bozhou, Anhui",33.844582,115.778676,72,0,48,0,58,0,66,0,66,0
" Harbin, Heilongjiang",45.803775,126.534967,94,0,63,0,73,0,73,0,94,0
" Shaoxing, Zhejiang",29.995762,120.586109,34,0,30,0,30,0,30,0,33,0
" Jinhua, Zhejiang",29.079175,119.64742,48,0,40,0,44,0,44,0,47,0
" Quzhou, Zhejiang",28.970079,118.859457,15,0,15,0,15,0,15,0,15,0
" Fuzhou, Fujian",26.074478,119.296482,57,0,53,0,55,0,55,0,56,0
" Urumqi, Xinjiang",43.825592,87.616848,18,0,12,0,12,0,15,0,15,0
" Xianyang, Shaanxi",34.329605,108.708991,15,0,11,0,15,0,15,0,15,0
" Xi'an, Shaanxi",34.341574,108.93977,80,0,61,0,71,0,71,0,75,0
" Singapore",1.352083,103.819836,33,0,24,0,24,0,28,0,30,0
" Ho Chi Minh City, Southeast Region",10.8230989,106.6296638,3,0,3,0,3,0,3,0,3,0
" Nanjing, Jiangsu",32.060255,118.796877,57,0,44,0,47,0,52,0,52,0
" Lianyungang, Jiangsu",34.596653,119.221611,24,0,17,0,20,0,22,0,22,0
" Yangzhou, Jiangsu",32.394209,119.412939,17,0,15,0,15,0,15,0,15,0
" Lanzhou, Gansu",36.061089,103.834303,32,0,30,0,30,0,30,0,32,0
" Baiyin, Gansu",36.545015,104.138586,3,0,1,0,1,0,1,0,3,0
" Xinyu, Jiangxi",27.817808,114.917346,87,0,50,0,60,0,60,0,78,0
" Ji'an, Jiangxi",27.087637,114.964696,16,0,15,0,15,0,15,0,15,0
" Jiujiang, Jiangxi",29.705077,116.00193,95,0,79,0,87,0,87,0,92,0
" Guilin, Guangxi",25.234479,110.179953,29,0,24,0,26,0,28,0,28,0
" Wuzhou, Guangxi",23.476962,111.279115,5,0,5,0,5,0,5,0,5,0
" Baise, Guangxi",23.902479,106.618283,3,0,2,0,2,0,2,0,2,0
" Hechi, Guangxi",24.692931,108.085261,11,0,8,0,9,0,11,0,11,0
" Tokyo, Kantō (capital)",35.6803997,139.7690174,12,0,12,0,12,0,12,0,12,0
" Seoul, SCA (capital)",37.566535,126.9779692,11,0,8,0,8,0,11,0,11,0
" Enshi, Hubei",30.272156,109.488172,160,0,123,0,138,0,144,0,144,0
" Weihai, Shandong",37.513068,122.120419,33,0,25,0,28,0,30,0,30,0
" Weifang, Shandong",36.706962,119.161748,31,0,14,0,21,0,27,0,27,0
" Zhengzhou, Henan",34.746611,113.625328,112,0,83,0,90,0,100,0,100,0
" Xinyang, Henan",32.147679,114.091192,176,0,111,0,137,0,163,0,163,0
" Qingyuan, Guangdong",23.681774,113.056042,10,0,8,0,10,0,10,0,10,0
" Yangjiang, Guangdong",21.857958,111.982232,13,0,12,0,12,0,12,0,13,0
" Jilin City, Jilin",43.837883,126.549572,5,0,5,0,5,0,5,0,5,0
" Songyuan, Jilin",45.141789,124.825117,2,0,2,0,2,0,2,0,2,0
" Anqing, Anhui",30.531919,117.115101,66,0,49,0,50,0,60,0,60,0
" Chizhou, Anhui",30.656037,117.489156,11,0,10,0,11,0,11,0,11,0
" Bengbu, Anhui",32.916287,117.389719,88,0,43,0,48,0,64,0,64,0
" Shiyan, Hubei",32.629398,110.798266,438,0,291,0,318,0,353,0,353,0
" Ya'an, Sichuan",29.980537,103.013261,6,0,5,0,6,0,6,0,6,0
" Suining, Sichuan",30.532847,105.592898,5,0,5,0,5,0,5,0,5,0
" Deyang, Sichuan",31.126855,104.397894,12,0,12,0,12,0,12,0,12,0
" Nantong, Jiangsu",31.980171,120.894291,29,0,22,0,25,0,27,0,27,0
" Wuxi, Jiangsu",31.491169,120.31191,31,0,25,0,26,0,28,0,28,0
" Liangjiang New District, Chongqing ",29.6426,106.567,16,0,13,0,14,0,14,0,14,0
" Xiushan County, Chongqing",28.447997,109.007094,1,0,1,0,1,0,1,0,1,0
" Wuxi County, Chongqing",31.398604,109.570062,11,0,11,0,11,0,11,0,11,0
" Fengjie County, Chongqing",31.018498,109.463987,13,0,9,0,9,0,11,0,12,0
" Yunyang County, Chongqing",30.930612,108.697324,20,0,18,0,18,0,19,0,19,0
" Kaizhou District, Chongqing",31.2699214,108.3816532,18,0,18,0,18,0,18,0,18,0
" Jiulongpo District, Chongqing",29.502272,106.510676,19,0,15,0,19,0,19,0,19,0
" Yubei District, Chongqing",29.718142,106.631187,12,0,12,0,12,0,12,0,12,0
" Dadukou District, Chongqing",29.484527,106.482346,4,0,3,0,3,0,3,0,3,0
" Kaohsiung City Municipality",22.6272784,120.3014353,2,0,2,0,2,0,2,0,2,0
" Zhongxian County, Chongqing",30.299559,108.039002,16,0,15,0,15,0,15,0,16,0
" Wanning, Hainan",18.795143,110.391073,12,0,11,0,11,0,11,0,12,0
" Yueyang, Hunan",29.356803,113.12873,107,0,83,0,89,0,93,0,93,0
" Loudi, Hunan",27.700062,111.993497,53,0,40,0,45,0,51,0,51,0
" Xiangtan, Hunan",27.829795,112.944026,25,0,21,0,23,0,24,0,24,0
" Zhuzhou, Hunan",27.827986,113.133853,46,0,34,0,38,0,41,0,41,0
" Manzhouli (Hulun Buir), Inner Mongolia",49.597841,117.378529,1,0,1,0,1,0,1,0,1,0
" Jining, Shandong",35.414982,116.587282,38,0,21,0,32,0,35,0,35,0
" Yantai, Shandong",37.464539,121.447852,35,0,26,0,29,0,31,0,31,0
" Jinan, Shandong",36.6512,117.120095,42,0,25,0,33,0,39,0,39,0
" Zhongwei, Ningxia",37.499972,105.196902,3,0,3,0,3,0,3,0,3,0
" Ankang, Shaanxi",32.684714,109.029022,21,0,17,0,19,0,19,0,21,0
" Yan'an, Shaanxi",36.585445,109.489757,7,0,7,0,7,0,7,0,7,0
" Kathmandu, Bagmati Pradesh (capital)",27.7172453,85.3239605,1,0,1,0,1,0,1,0,1,0
" Chicago, Illinois",41.8781136,-87.6297982,2,0,2,0,2,0,2,0,2,0
" Xishuangbanna, Yunnan",22.00881,100.79715,15,0,13,0,14,0,15,0,15,0
" Lijiang, Yunnan",26.855047,100.22775,7,0,10,0,7,0,7,0,7,0
" Yulin, Guangxi",22.654032,110.18122,8,0,8,0,8,0,8,0,8,0
" Fangchenggang, Guangxi",21.68686,108.353846,15,0,11,0,13,0,15,0,15,0
" Bordeaux, Nouvelle-Aquitaine",44.837789,-0.579179999999951,1,0,1,0,1,0,1,0,1,0
" Paris, Île-de-France (capital)",48.856614,2.35222190000002,5,0,5,0,5,0,5,0,5,0
" Fuzhou, Jiangxi",27.949217,116.358181,56,0,34,0,44,0,44,0,46,0
" Shangrao, Jiangxi",28.454862,117.943433,86,0,50,0,69,0,69,0,78,0
" Ganzhou, Jiangxi",25.830694,114.933546,60,0,43,0,49,0,49,0,53,0
" Yichun, Jiangxi",27.815743,114.416785,62,0,45,0,48,0,48,0,54,0
" Jingdezhen, Jiangxi",29.268783,117.178443,4,0,4,0,4,0,4,0,4,0
" Datong, Shanxi",40.076762,113.300129,10,0,9,0,9,0,9,0,9,0
" Changzhi, Shanxi",36.195409,113.116404,5,0,3,0,3,0,5,0,5,0
" Yuncheng, Shanxi",35.026516,111.00746,17,0,16,0,17,0,17,0,17,0
" Huludao, Liaoning",40.71104,120.83694,9,0,6,0,6,0,7,0,7,0
