"city","Latitude","Longitude","confirmedcases_14-02-2020","deaths_14-02-2020","confirmedcases_05-02-2020","deaths_05-02-2020","confirmedcases_06-02-2020","deaths_06-02-2020","confirmedcases_07-02-2020","deaths_07-02-2020","confirmedcases_08-02-2020","deaths_08-02-2020","confirmedcases_09-02-2020","deaths_09-02-2020","confirmedcases_10-02-2020","deaths_10-02-2020","confirmedcases_11-02-2020","deaths_11-02-2020","confirmedcases_12-02-2020","deaths_12-02-2020","confirmedcases_13-02-2020","deaths_13-02-2020"
" Guiyang, Guizhou",26.647661,106.630153,33,0,10,0,12,0,15,0,15,0,18,0,18,0,27,0,27,0,27,0
" Wenzhou, Zhejiang",27.993828,120.699361,490,0,340,0,364,0,364,0,396,0,421,0,421,0,464,0,464,0,464,0
" Hangzhou, Zhejiang",30.274084,120.15507,162,0,132,0,141,0,141,0,151,0,156,0,156,0,155,0,155,0,155,0
" Zhoushan, Zhejiang",29.985295,122.207215,10,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0
" Taizhou, Zhejiang",28.65638,121.42076,144,0,115,0,124,0,124,0,126,0,129,0,129,0,141,0,141,0,141,0
" Wushan County, Chongqing",31.074834,109.879153,10,0,7,0,8,0,8,0,8,0,8,0,8,0,9,0,9,0,9,0
" Changshou district, Chongqing",29.857996,107.081282,17,0,12,0,12,0,12,0,12,0,12,0,12,0,15,0,15,0,15,0
" Rizhao, Shandong",35.416734,119.526925,15,0,14,0,14,0,14,0,14,0,15,0,15,0,15,0,15,0,15,0
" Everett, Washington",47.9789848,-122.2020795,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
" Zhoukou, Henan",33.626149,114.69695,68,0,52,0,56,0,59,0,59,0,60,0,60,0,65,0,65,0,65,0
" Changsha, Hunan",28.228209,112.938814,228,0,148,0,164,0,179,0,179,0,190,0,190,0,213,0,213,0,213,0
" Kunming, Yunnan",24.880095,102.832891,48,0,32,0,34,0,37,0,40,0,41,0,41,0,42,0,42,0,42,0
" Guang'an, Sichuan",30.456224,106.633088,30,0,24,0,24,0,24,0,24,0,27,0,27,0,28,0,28,0,28,0
" Macau (SAR)",22.198745,113.543873,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0
" Guangzhou, Guangdong",23.12911,113.264385,327,0,224,0,237,0,237,0,270,0,285,0,285,0,313,0,313,0,313,0
" Foshan, Guangdong",23.021478,113.121435,81,0,49,0,49,0,49,0,57,0,59,0,59,0,68,0,68,0,68,0
" Shaoguan, Guangdong",24.810879,113.59762,8,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0
" Ningbo, Zhejiang",29.868336,121.54399,153,0,102,0,130,0,130,0,136,0,146,0,146,0,149,0,149,0,149,0
" Nakhon Pathom, Nakhon Pathom Province",13.8199206,100.0621676,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
" Dalian, Liaoning",38.914003,121.614682,17,0,13,0,13,0,14,0,14,0,14,0,14,0,16,0,16,0,16,0
" Haikou, Hainan",20.044412,110.198286,29,0,14,0,16,0,16,0,21,0,21,0,21,0,28,0,28,0,28,0
" Lingao County, Hainan",19.912025,109.690508,6,0,4,0,5,0,5,0,5,0,5,0,5,0,6,0,6,0,6,0
" Huaihua, Hunan",27.569517,110.001922,39,0,35,0,35,0,36,0,36,0,38,0,38,0,39,0,39,0,39,0
" Dianjiang County, Chongqing",30.327716,107.33339,20,0,13,0,15,0,16,0,17,0,18,0,18,0,20,0,20,0,20,0
" Mianyang, Sichuan",31.46746,104.679004,22,0,17,0,17,0,18,0,18,0,19,0,19,0,21,0,21,0,21,0
" Taiyuan, Shanxi",37.87059,112.548879,18,0,6,0,9,0,9,0,11,0,12,0,12,0,17,0,17,0,17,0
" Yinchuan, Ningxia",38.487193,106.230908,32,0,20,0,20,0,20,0,27,0,27,0,27,0,28,0,28,0,28,0
" Beihai, Guangxi",21.481291,109.120161,39,0,27,0,29,0,31,0,31,0,31,0,31,0,35,0,35,0,35,0
" Luoyang, Henan",34.620202,112.453926,30,0,12,0,17,0,21,0,21,0,24,0,24,0,27,0,27,0,27,0
" Sanmenxia, Henan",34.772792,111.200367,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0
" Gongyi (Zhengzhou), Henan",34.747834,113.022496,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
" Shijiazhuang, Hebei",38.042805,114.514893,27,0,21,0,21,0,24,0,24,0,24,0,24,0,25,0,25,0,25,0
" Suzhou, Jiangsu",31.298974,120.585289,85,0,52,0,55,0,60,0,60,0,69,0,69,0,77,0,77,0,77,0
" Mudanjiang, Heilongjiang",44.551653,129.633168,12,0,8,0,9,0,11,0,11,0,11,0,11,0,12,0,12,0,12,0
" Liuzhou, Guangxi",24.326292,109.428608,22,0,15,0,17,0,20,0,20,0,20,0,20,0,22,0,22,0,22,0
" Linyi, Shandong",35.104673,118.356414,45,0,28,0,32,0,35,0,35,0,40,0,40,0,42,0,42,0,42,0
" Dazhou, Sichuan",31.209571,107.468023,36,0,13,0,17,0,20,0,20,0,23,0,23,0,28,0,28,0,28,0
" Zhongshan, Guangdong",22.517585,113.39277,64,0,31,0,35,0,35,0,44,0,46,0,46,0,56,0,56,0,56,0
" Changchun, Jilin",43.817071,125.323544,42,0,17,0,27,0,28,0,28,0,31,0,31,0,39,0,39,0,39,0
" Xiamen, Fujian",24.479833,118.089425,34,0,20,0,21,0,21,0,21,0,23,0,23,0,28,0,28,0,28,0
" Quanzhou, Fujian",24.874132,118.675675,44,0,35,0,37,0,37,0,39,0,40,0,40,0,42,0,42,0,42,0
" Ningde, Fujian",26.665617,119.547932,25,0,12,0,14,0,14,0,16,0,16,0,16,0,24,0,24,0,24,0
" Shenyang, Liaoning",41.805699,123.431472,28,0,18,0,18,0,23,0,23,0,25,0,25,0,26,0,26,0,26,0
" Yongzhou, Hunan",26.420394,111.613445,43,0,26,0,30,0,32,0,32,0,38,0,38,0,41,0,41,0,41,0
" Chenzhou, Hunan",25.770509,113.014717,38,0,22,0,24,0,25,0,25,0,29,0,29,0,32,0,32,0,32,0
" Fuling District, Chongqing",29.703113,107.389298,3,0,2,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0
" Nanchang, Jiangxi",28.682892,115.858197,210,0,121,0,134,0,134,0,149,0,162,0,162,0,189,0,189,0,189,0
" Tongren, Guizhou",27.731514,109.189598,10,0,6,0,6,0,6,0,6,0,6,0,6,0,8,0,8,0,8,0
" Guiding County (Qiannan), Guizhou",26.584666,107.234703,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
" Lu'an, Anhui",31.734476,116.521442,60,0,30,0,34,0,36,0,36,0,41,0,41,0,57,0,57,0,57,0
" Fuyang, Anhui",32.890479,115.814504,142,0,79,0,84,0,95,0,95,0,105,0,105,0,125,0,125,0,125,0
" Chuzhou, Anhui",32.253425,118.328321,13,0,11,0,11,0,11,0,11,0,11,0,11,0,12,0,12,0,12,0
" Bozhou, Anhui",33.844582,115.778676,100,0,48,0,58,0,66,0,66,0,72,0,72,0,92,0,92,0,92,0
" Shaoxing, Zhejiang",29.995762,120.586109,41,0,30,0,30,0,30,0,33,0,34,0,34,0,41,0,41,0,41,0
" Jinhua, Zhejiang",29.079175,119.64742,55,0,40,0,44,0,44,0,47,0,48,0,48,0,53,0,53,0,53,0
" Quzhou, Zhejiang",28.970079,118.859457,21,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
" Fuzhou, Fujian",26.074478,119.296482,64,0,53,0,55,0,55,0,56,0,57,0,57,0,63,0,63,0,63,0
" Urumqi, Xinjiang",43.825592,87.616848,21,0,12,0,12,0,15,0,15,0,18,0,20,0,20,0,20,0,20,0
" Xianyang, Shaanxi",34.329605,108.708991,17,0,11,0,15,0,15,0,15,0,15,0,15,0,17,0,17,0,17,0
" Xi'an, Shaanxi",34.341574,108.93977,114,0,61,0,71,0,71,0,75,0,80,0,80,0,98,0,98,0,98,0
" Singapore",1.352083,103.819836,58,0,24,0,24,0,28,0,30,0,33,0,33,0,45,0,47,0,50,0
" Ho Chi Minh City, Southeast Region",10.8230989,106.6296638,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0
" Nanjing, Jiangsu",32.060255,118.796877,90,0,44,0,47,0,52,0,52,0,57,0,57,0,78,0,78,0,78,0
" Lianyungang, Jiangsu",34.596653,119.221611,42,0,17,0,20,0,22,0,22,0,24,0,24,0,35,0,35,0,35,0
" Yangzhou, Jiangsu",32.394209,119.412939,20,0,15,0,15,0,15,0,15,0,17,0,17,0,18,0,18,0,18,0
" Baiyin, Gansu",36.545015,104.138586,4,0,1,0,1,0,1,0,3,0,3,0,3,0,4,0,4,0,4,0
" Xinyu, Jiangxi",27.817808,114.917346,121,0,50,0,60,0,60,0,78,0,87,0,87,0,87,0,87,0,87,0
" Ji'an, Jiangxi",27.087637,114.964696,20,0,15,0,15,0,15,0,15,0,16,0,16,0,18,0,18,0,18,0
" Jiujiang, Jiangxi",29.705077,116.00193,109,0,79,0,87,0,87,0,92,0,95,0,95,0,101,0,101,0,101,0
" Guilin, Guangxi",25.234479,110.179953,31,0,24,0,26,0,28,0,28,0,29,0,29,0,30,0,30,0,30,0
" Wuzhou, Guangxi",23.476962,111.279115,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
" Baise, Guangxi",23.902479,106.618283,3,0,2,0,2,0,2,0,2,0,3,0,3,0,3,0,3,0,3,0
" Tokyo, Kantō (capital)",35.6803997,139.7690174,14,0,12,0,12,0,12,0,12,0,12,0,12,0,13,0,13,0,13,0
" Seoul, SCA (capital)",37.566535,126.9779692,12,0,8,0,8,0,11,0,11,0,11,0,11,0,11,0,11,0,12,0
" Weihai, Shandong",37.513068,122.120419,38,0,25,0,28,0,30,0,30,0,33,0,33,0,35,0,35,0,35,0
" Weifang, Shandong",36.706962,119.161748,41,0,14,0,21,0,27,0,27,0,31,0,31,0,37,0,37,0,37,0
" Zhengzhou, Henan",34.746611,113.625328,141,0,83,0,90,0,100,0,100,0,112,0,112,0,130,0,130,0,130,0
" Xinyang, Henan",32.147679,114.091192,240,0,111,0,137,0,163,0,163,0,176,0,176,0,220,0,220,0,220,0
" Qingyuan, Guangdong",23.681774,113.056042,12,0,8,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0
" Yangjiang, Guangdong",21.857958,111.982232,13,0,12,0,12,0,12,0,13,0,13,0,13,0,13,0,13,0,13,0
" Jilin City, Jilin",43.837883,126.549572,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
" Songyuan, Jilin",45.141789,124.825117,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
" Anqing, Anhui",30.531919,117.115101,80,0,49,0,50,0,60,0,60,0,66,0,66,0,78,0,78,0,78,0
" Chizhou, Anhui",30.656037,117.489156,16,0,10,0,11,0,11,0,11,0,11,0,11,0,15,0,15,0,15,0
" Ya'an, Sichuan",29.980537,103.013261,7,0,5,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0
" Suining, Sichuan",30.532847,105.592898,10,0,5,0,5,0,5,0,5,0,5,0,5,0,10,0,10,0,10,0
" Deyang, Sichuan",31.126855,104.397894,17,0,12,0,12,0,12,0,12,0,12,0,12,0,16,0,16,0,16,0
" Nantong, Jiangsu",31.980171,120.894291,38,0,22,0,25,0,27,0,27,0,29,0,29,0,33,0,33,0,33,0
" Wuxi, Jiangsu",31.491169,120.31191,49,0,25,0,26,0,28,0,28,0,31,0,31,0,41,0,41,0,41,0
" Liangjiang New District, Chongqing ",29.6426,106.567,17,0,13,0,14,0,14,0,14,0,16,0,16,0,16,0,16,0,16,0
" Xiushan County, Chongqing",28.447997,109.007094,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
" Wuxi County, Chongqing",31.398604,109.570062,13,0,11,0,11,0,11,0,11,0,11,0,11,0,12,0,12,0,12,0
" Fengjie County, Chongqing",31.018498,109.463987,19,0,9,0,9,0,11,0,12,0,13,0,13,0,14,0,14,0,14,0
" Yunyang County, Chongqing",30.930612,108.697324,22,0,18,0,18,0,19,0,19,0,20,0,20,0,20,0,20,0,20,0
" Yubei District, Chongqing",29.718142,106.631187,15,0,12,0,12,0,12,0,12,0,12,0,12,0,13,0,13,0,13,0
" Dadukou District, Chongqing",29.484527,106.4824533,7,0,,,,,,,,,,,,,7,0,7,0,7,0
" Zhongxian County, Chongqing",30.299559,108.039002,19,0,15,0,15,0,15,0,16,0,16,0,16,0,18,0,18,0,18,0
" Wanning, Hainan",18.795143,110.391073,13,0,11,0,11,0,11,0,12,0,12,0,12,0,12,0,12,0,12,0
" Loudi, Hunan",27.700062,111.993497,72,0,40,0,45,0,51,0,51,0,53,0,53,0,66,0,66,0,66,0
" Xiangtan, Hunan",27.829795,112.944026,32,0,21,0,23,0,24,0,24,0,25,0,25,0,31,0,31,0,31,0
" Zhuzhou, Hunan",27.827986,113.133853,75,0,34,0,38,0,41,0,41,0,46,0,46,0,61,0,61,0,61,0
" Manzhouli (Hulun Buir), Inner Mongolia",49.597841,117.378529,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
" Jining, Shandong",35.414982,116.587282,43,0,21,0,32,0,35,0,35,0,38,0,38,0,39,0,39,0,39,0
" Yantai, Shandong",37.464539,121.447852,46,0,26,0,29,0,31,0,31,0,35,0,35,0,39,0,39,0,39,0
" Jinan, Shandong",36.6512,117.120095,47,0,25,0,33,0,39,0,39,0,42,0,42,0,44,0,44,0,44,0
" Zhongwei, Ningxia",37.499972,105.196902,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0
" Ankang, Shaanxi",32.684714,109.029022,22,0,17,0,19,0,19,0,21,0,21,0,21,0,22,0,22,0,22,0
" Yan'an, Shaanxi",36.585445,109.489757,8,0,7,0,7,0,7,0,7,0,7,0,7,0,8,0,8,0,8,0
" Kathmandu, Bagmati Pradesh (capital)",27.7172453,85.3239605,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
" Chicago, Illinois",41.8781136,-87.6297982,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
" Xishuangbanna, Yunnan",22.00881,100.79715,15,0,13,0,14,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
" Lijiang, Yunnan",26.855047,100.22775,7,0,10,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0
" Yulin, Guangxi",22.654032,110.18122,9,0,8,0,8,0,8,0,8,0,8,0,8,0,9,0,9,0,9,0
" Fangchenggang, Guangxi",21.68686,108.353846,17,0,11,0,13,0,15,0,15,0,15,0,15,0,17,0,17,0,17,0
" Bordeaux, Nouvelle-Aquitaine",44.837789,-0.579179999999951,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
" Paris, Île-de-France (capital)",48.856614,2.35222190000002,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
" Fuzhou, Jiangxi",27.949217,116.358181,69,0,34,0,44,0,44,0,46,0,56,0,56,0,64,0,64,0,64,0
" Shangrao, Jiangxi",28.454862,117.943433,119,0,50,0,69,0,69,0,78,0,86,0,86,0,103,0,103,0,103,0
" Yichun, Jiangxi",27.815743,114.416785,95,0,45,0,48,0,48,0,54,0,62,0,62,0,77,0,77,0,77,0
" Jingdezhen, Jiangxi",29.268783,117.178443,5,0,4,0,4,0,4,0,4,0,4,0,4,0,5,0,5,0,5,0
" Datong, Shanxi",40.076762,113.300129,12,0,9,0,9,0,9,0,9,0,10,0,10,0,11,0,11,0,11,0
" Changzhi, Shanxi",36.195409,113.116404,8,0,3,0,3,0,5,0,5,0,5,0,5,0,7,0,7,0,7,0
" Yuncheng, Shanxi",35.026516,111.00746,19,0,16,0,17,0,17,0,17,0,17,0,17,0,18,0,18,0,18,0
" Tieling, Liaoning",42.223828,123.726035,7,0,3,0,3,0,3,0,3,0,3,0,3,0,4,0,4,0,4,0
" Benxi, Liaoning",41.486981,123.685142,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0
" Liaocheng, Shandong",36.45703,115.98546,38,0,10,0,15,0,20,0,20,0,27,0,27,0,34,0,34,0,34,0
" Changzhou, Jiangsu",31.811226,119.974061,38,0,19,0,24,0,27,0,27,0,29,0,29,0,31,0,31,0,31,0
" Suqian, Jiangsu",33.963232,118.275198,12,0,10,0,11,0,11,0,11,0,12,0,12,0,12,0,12,0,12,0
" Yancheng, Jiangsu",33.347316,120.16366,25,0,15,0,15,0,16,0,16,0,16,0,16,0,18,0,18,0,18,0
" Chengde, Hebei",40.952942,117.96275,7,0,3,0,4,0,5,0,5,0,6,0,6,0,7,0,7,0,7,0
" Baoding, Hebei",38.874434,115.464589,31,0,13,0,17,0,17,0,17,0,18,0,18,0,26,0,26,0,26,0
" Yiyang, Hunan",28.55386,112.35518,59,0,35,0,40,0,41,0,41,0,43,0,43,0,53,0,53,0,53,0
" Changde, Hunan",29.031654,111.698784,77,0,50,0,56,0,62,0,62,0,64,0,64,0,72,0,72,0,72,0
" Hengyang, Hunan",26.893368,112.572018,45,0,35,0,39,0,43,0,43,0,43,0,43,0,45,0,45,0,45,0
" Dongguan, Guangdong",23.020673,113.751799,70,0,37,0,44,0,44,0,47,0,63,0,63,0,60,0,60,0,60,0
" Shantou, Guangdong",23.354091,116.681972,25,0,18,0,20,0,20,0,21,0,22,0,22,0,25,0,25,0,25,0
" Zhumadian, Henan",33.011529,114.022298,134,0,72,0,82,0,98,0,98,0,106,0,106,0,123,0,123,0,123,0
" Gushi County (Xinyang), Henan",32.168137,115.654481,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
" Ma'anshan, Anhui",31.67044,118.507011,32,0,20,0,22,0,22,0,22,0,22,0,22,0,31,0,31,0,31,0
" Tongling, Anhui",30.945515,117.81154,28,0,19,0,19,0,20,0,20,0,22,0,22,0,25,0,25,0,25,0
" Wuhu, Anhui",31.352859,118.432941,31,0,21,0,23,0,26,0,26,0,27,0,27,0,30,0,30,0,30,0
" Shizhu County, Chongqing",29.999285,108.114069,14,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0
" Hechuan District, Chongqing",29.972084,106.27613,21,0,9,0,9,0,11,0,15,0,16,0,16,0,18,0,18,0,18,0
" Bishan District, Chongqing",29.592024,106.227305,8,0,8,0,8,0,8,0,8,0,8,0,8,0,8,0,8,0,8,0
" Liangping District, Chongqing",30.674362,107.803911,4,0,3,0,3,0,3,0,4,0,4,0,4,0,4,0,4,0,4,0
" Chengkou County, Chongqing",31.947633,108.664214,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
